Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-06T20:07:39.119Z,,,Included,auto,No,0,3099,119296,133,122528,Included
2026-07-06T20:07:26.783Z,,,Included,auto,No,0,532,59776,121,60429,Included
2026-07-06T20:07:16.170Z,,,Included,auto,No,0,4333,115200,411,119944,Included
2026-07-06T20:06:06.560Z,,,Included,auto,No,0,12014,163936,566,176516,Included
2026-07-06T20:05:56.569Z,,,Included,auto,No,0,959,56576,166,57701,Included
2026-07-06T20:05:47.598Z,,,Included,auto,No,0,4279,108320,1078,113677,Included
2026-07-06T20:05:42.815Z,,,Included,auto,No,0,1519,54080,69,55668,Included
2026-07-06T20:05:22.863Z,,,Included,auto,No,0,4396,84896,976,90268,Included
2026-07-06T20:04:54.186Z,,,Included,auto,No,0,8007,123456,2993,134456,Included
2026-07-06T20:04:31.652Z,,,Included,auto,No,0,2297,52736,404,55437,Included
2026-07-06T20:03:58.538Z,,,Included,auto,No,0,4050,156448,792,161290,Included
2026-07-06T20:02:49.644Z,,,Included,auto,No,0,51498,98496,2046,152040,Included
2026-07-06T20:02:18.151Z,,,Included,auto,No,0,875,51808,76,52759,Included
2026-07-06T20:02:06.568Z,,,Included,auto,No,0,591,51552,303,52446,Included
2026-07-06T19:59:07.982Z,,,Included,auto,No,0,14003,89280,153,103436,Included
2026-07-06T19:58:07.213Z,,,Included,auto,No,0,27132,407168,2462,436762,Included
2026-07-06T19:55:01.613Z,,,Included,auto,No,0,40262,133568,1087,174917,Included
2026-07-06T19:54:53.985Z,,,Included,auto,No,0,610,39808,323,40741,Included
2026-07-06T19:53:54.777Z,,,Included,auto,No,0,6879,109600,533,117012,Included
2026-07-06T19:52:45.529Z,,,Included,auto,No,0,6982,137216,824,145022,Included
2026-07-06T19:49:25.440Z,,,Included,auto,No,0,39614,187104,1338,228056,Included
2026-07-06T19:48:57.401Z,,,Included,auto,No,0,1470,57312,1392,60174,Included
2026-07-06T19:48:46.159Z,,,"Errored, No Charge",auto,No,,,,,,Free
2026-07-06T19:46:24.242Z,,,Included,auto,No,0,14177,93216,1804,109197,Included
2026-07-06T19:45:46.681Z,,,Included,auto,No,0,53742,143264,2313,199319,Included
2026-07-06T19:44:00.448Z,,,Included,auto,No,0,25496,132096,899,158491,Included
2026-07-06T19:40:57.716Z,,,Included,auto,No,0,4374,200576,1024,205974,Included
2026-07-06T19:39:36.562Z,,,Included,auto,No,0,1251,196224,1449,198924,Included
2026-07-06T19:36:27.983Z,,,Included,auto,No,0,4748,765792,1616,772156,Included
2026-07-06T19:19:42.245Z,,,Included,auto,No,0,9487,350592,3835,363914,Included
2026-07-06T19:19:17.989Z,,,Included,auto,No,0,885,87328,1254,89467,Included
2026-07-06T19:18:06.968Z,,,Included,auto,No,0,2270,342176,2301,346747,Included
2026-07-06T19:17:30.604Z,,,Included,auto,No,0,31065,384448,1032,416545,Included
2026-07-06T19:16:18.083Z,,,Included,auto,No,0,6975,229280,3229,239484,Included
2026-07-06T19:15:20.080Z,,,Included,auto,No,0,243,150336,446,151025,Included
2026-07-06T19:15:15.502Z,,,Included,auto,No,0,516,74560,219,75295,Included
2026-07-06T19:14:46.697Z,,,Included,auto,No,0,8350,213952,309,222611,Included
2026-07-06T19:13:19.225Z,,,Included,auto,No,0,2032,141312,1068,144412,Included
2026-07-06T19:12:52.511Z,,,Included,auto,No,0,813,69472,87,70372,Included
2026-07-06T19:12:13.821Z,,,Included,auto,No,0,28738,244864,2446,276048,Included
2026-07-06T19:11:55.936Z,,,Included,auto,No,0,2882,127648,976,131506,Included
2026-07-06T19:11:26.620Z,,,Included,auto,No,0,5638,176704,1023,183365,Included
2026-07-06T19:10:50.620Z,,,Included,auto,No,0,2183,114240,780,117203,Included
2026-07-06T19:08:56.418Z,,,Included,auto,No,0,4441,219936,644,225021,Included
2026-07-06T19:06:59.716Z,,,Included,auto,No,0,57737,432928,6384,497049,Included
2026-07-06T19:04:57.370Z,,,Included,auto,No,0,63761,127904,3344,195009,Included
2026-07-06T19:03:33.208Z,,,Included,auto,No,0,46936,123040,2256,172232,Included
2026-07-06T19:01:21.419Z,,,Included,auto,No,0,25861,604896,845,631602,Included
2026-07-06T18:57:17.190Z,,,Included,auto,No,0,2195,243616,790,246601,Included
2026-07-06T18:55:28.238Z,,,Included,auto,No,0,9067,1501440,10636,1521143,Included
2026-07-06T18:54:28.280Z,,,Included,auto,No,0,96235,960320,5186,1061741,Included
2026-07-06T18:46:16.563Z,,,Included,auto,No,0,10577,384448,2224,397249,Included
2026-07-06T18:41:11.130Z,,,Included,auto,No,0,1621,188512,308,190441,Included
2026-07-06T18:39:58.492Z,,,Included,auto,No,0,19903,694944,5828,720675,Included
2026-07-06T18:33:39.985Z,,,Included,auto,No,0,28727,682208,2015,712950,Included
2026-07-06T18:31:43.570Z,,,Included,auto,No,0,10629,335104,3384,349117,Included
2026-07-06T18:18:19.096Z,,,Included,auto,No,0,160864,497664,9200,667728,Included
2026-07-06T18:15:43.651Z,,,Included,auto,No,0,11292,630072,6215,647579,Included
2026-07-06T18:13:25.130Z,,,Included,auto,No,0,3620,237944,686,242250,Included
2026-07-06T18:11:49.596Z,,,Included,auto,No,0,3508,702375,933,706816,Included
2026-07-06T18:08:30.435Z,,,Included,auto,No,0,11062,426999,4986,443047,Included
2026-07-06T18:06:56.811Z,,,Included,auto,No,0,3131,202898,1003,207032,Included
2026-07-06T18:06:00.267Z,,,Included,auto,No,0,10122,579692,5757,595571,Included
2026-07-06T18:05:00.837Z,,,Included,auto,No,0,2744,177709,1669,182122,Included
2026-07-06T18:04:01.888Z,,,Included,auto,No,0,2321,85833,1000,89154,Included
2026-07-06T18:01:04.619Z,,,Included,auto,No,0,7717,243518,3709,254944,Included
2026-07-06T17:56:23.564Z,,,Included,auto,No,0,4622,148412,3973,157007,Included
2026-07-06T17:49:52.925Z,,,Included,auto,No,0,64403,1183555,24911,1272869,Included
2026-07-06T17:45:21.872Z,,,Included,auto,No,0,29780,170826,2764,203370,Included
2026-07-06T12:53:35.142Z,,,Included,auto,No,0,46832,443254,9668,499754,Included
2026-07-06T12:49:37.946Z,,,Included,auto,No,0,28107,139304,4267,171678,Included
2026-07-06T12:45:58.397Z,,,Included,auto,No,0,13637,647584,9623,670844,Included
2026-07-06T12:40:15.667Z,,,Included,auto,No,0,847,112608,547,114002,Included
2026-07-06T12:36:48.528Z,,,Included,auto,No,0,17812,635232,6567,659611,Included
